1,一,eins,one
2,二,zwei,two
3,三,drei,three
4,四,vier,four
5,五,fünf,five
6,六,sechs,six
7,七,sieben,seven
8,八,acht,eight
9,九,neun,nine
10,十,zehn,ten
11,口,Mund,mouth
12,日,Tag,day
13,月,Monat,month
14,田,Reisfeld,rice field
15,目,Auge,eye
16,古,alt,old
17,吾,Ich,I
18,冒,riskieren,risk
19,朋,Gefährte,companion
20,明,hell,bright
21,唱,Gesang,chant
22,晶,Kristall,sparkle
23,品,Waren,goods
24,呂,Rückgrat,spine
25,昌,gedeihen,prosperous
26,早,früh,early
27,旭,aufgehende Sonne,rising sun
28,世,Generation,generation
29,胃,Magen,stomach
30,旦,Morgendämmerung,nightbreak
31,胆,Gallenblase,gall bladder
32,亘,Spanne,span
33,凹,Konkav,concave
34,凸,Konvex,convex
35,旧,alte Zeiten,olden times
36,自,selbst,oneself
37,白,weiß,white
38,百,hundert,hundred
39,中,in,in
40,千,tausend,thousand
41,舌,Zunge,tongue
42,升,Messkästchen,measuring box
43,昇,aufsteigen,rise up
44,丸,rund,round
45,寸,Längenmaß,measurement
46,肘,Ellenbogen,elbow
47,専,Spezialgebiet,specialty
48,博,Dr.,Dr.
49,占,Wahrsagen,fortune-telling
50,上,auf,above
51,下,unter,below
52,卓,hervorragend,eminent
53,朝,Morgen,morning
54,嘲,Hohn,derision
55,只,nur,only
56,貝,Muschel,shellfish
57,唄,Schlager,pop song
58,貞,keusch,upright
59,員,Mitglied,employee
60,貼,aufkleben,post a bill
61,見,sehen,see
62,児,Säugling,newborn babe
63,元,Anfang,beginning
64,頁,Buchseite,page
65,頑,hartnäckig,stubborn
66,凡,durchschnittlich,mediocre
67,負,unterliegen,defeat
68,万,zehntausend,ten thousand
69,句,Ausdruck,phrase
70,肌,Oberfläche,texture
71,旬,Zeitraum von zehn Tagen,decameron
72,勺,Kelle,ladle
73,的,Zielscheibe,bull's eye
74,首,Hals,neck
75,乙,delikat,fish guts
76,乱,Aufruhr,riot
77,直,direkt,straightaway
78,具,Werkzeug,tool
79,真,wahr,true
80,工,Handwerk,craft
81,左,links,left
82,右,rechts,right
83,有,besitzen,possess
84,賄,Bestechung,bribe
85,貢,Abgabe,tribute
86,項,Abschnitt,paragraph
87,刀,Schwert,sword
88,刃,Klinge,blade
89,切,schneiden,cut
90,召,locken,seduce
91,昭,gleißen,shining
92,則,Regel,rule
93,副,Vize-,vice-
94,別,getrennt,separate
95,丁,Häuserblock,street
96,町,Stadt,village
97,可,möglich,can
98,頂,auf den Kopf,place on the head
99,子,Kind,child
100,孔,Ritze,cavity
101,了,fertig,complete
102,女,Frau,woman
103,好,mögen,fond
104,如,als ob,likeness
105,母,Mama,mama
106,貫,durchbohren,pierce
107,兄,älterer Bruder,elder brother
108,呪,Fluch,curse
109,克,überwinden,overcome
110,小,klein,little
111,少,wenig,few
112,大,groß,large
113,多,viele,many
114,夕,Abend,evening
115,汐,abendliche Gezeiten,eventide
116,外,draußen,outside
117,名,Name,name
118,石,Stein,stone
119,肖,gleichen,resemblance
